CASE_NUMBER,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMP,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,ORIGINAL_CERT_DATE,CASE_STATUS
I-200-18194-498268,07/13/2018,07/19/2018,H-1B,07/24/2018,06/23/2021,POPULUS GROUP LLC,,3001 WEST BIG BEAVER ROAD,TROY,MI,UNITED STATES OF AMERICA,,2487127983,,Y,"WISNIEWSKI, JOEL",TROY,MI,SOFTWARE QUALITY ASSURANCE ENGINEER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",561320,1,1,0,0,0,0,0,Y,58.76,Level III,OES,2018,OFLC ONLINE DATA CENTER,70,0,N,N,NA,,SAN JOSE,SANTA CLARA,CA,,CERTIFIED
I-200-18192-863160,07/13/2018,07/19/2018,H-1B,07/18/2018,07/17/2021,ACCENTURE LLP,N/A,161 N CLARK STREET,CHICAGO,IL,UNITED STATES OF AMERICA,N/A,0013126930,,N,",",,,COMPUTER SYSTEMS ANALYST 2,15-1121,COMPUTER SYSTEMS ANALYSTS,5416,1,1,0,0,0,0,0,Y,67538,Level II,OES,2018,OFLC ONLINE DATA CENTER',67538,0,N,N,NA,Y,MILWAUKEE,MILWAUKEE,WI,,CERTIFIED
I-200-18193-316996,07/12/2018,07/17/2018,H-1B,08/20/2018,08/19/2021,TEXAS A&M UNIVERSITY CORPUS CHRISTI,,6300 OCEAN DRIVE #5730,CORPUS CHRISTI,TX,UNITED STATES OF AMERICA,,3618252198,,N,",",,,ASSISTANT PROFESSOR ENGINEERING,25-1032,"ENGINEERING TEACHERS, POSTSECONDARY",611310,2,2,0,0,0,0,0,Y,72660,Level I,SCA,2018,OFLC ONLINE DATA CENTER,72660,90000,N,N,NA,,CORPUS CHRISTI,NUECES,TX,,DENIED
I-200-18180-632842,06/29/2018,07/03/2018,H-1B,10/01/2018,09/30/2021,EVANGELISTA DENTAL PARTNERS SUNNYVALE PC,CALAVERAS DENTAL ARTISTRY,460 E CALAVERAS BLVD,MILPITAS,CA,UNITED STATES OF AMERICA,,4082634443,,Y,"EVANGELISTA, ARTHUR",SAN BERNARDINO,CA,DENTIST,29-1021,"DENTISTS, GENERAL",621210,1,0,0,0,0,1,0,Y,169374,Level III,Other,2018,OFLC ONLINE DATA CENTER,175000,0,N,N,NA,Y,MILPITAS,SANTA CLARA,CA,,DENIED
I-200-18211-090681,07/30/2018,08/03/2018,H-1B,08/15/2018,08/14/2021,"APOGEE MEDICAL GROUP, GEORGIA, INC.",,8117 PRESTON ROAD,DALLAS,TX,UNITED STATES OF AMERICA,,2143689600,,N,",",,,INTENSIVIST/ HOSPITALIST PHYSICIAN,29-1063,"INTERNISTS, GENERAL",621111,1,0,0,0,0,1,0,Y,202322,Level II,Other,2018,OFLC ONLINE DATA CENTER,425000,0,N,N,NA,Y,CARROLLTON,CARROLL,GA,,CERTIFIED
I-200-18190-070188,07/19/2018,07/25/2018,H-1B,10/23/2018,10/23/2021,HEWLETT PACKARD ENTERPRISE COMPANY,,14231 TANDEM BLVD.,AUSTIN,TX,UNITED STATES OF AMERICA,,6508571501,,Y,"ESPINAL, MARGARET",SANTA CLARA,CA,SOFTWARE ENGINEER QUALITY ASSURANCE,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",54151,12,2,2,2,2,2,2,Y,139872,N/A,Other,2018,RADFORD GLOBAL INFORMATION TECHNOLOGY SURVEY,139872,181600,N,N,NA,,SANTA CLARA,SANTA CLARA,CA,,CERTIFIED
I-200-18186-208885,07/11/2018,07/13/2018,H-1B,07/23/2018,07/22/2021,UBS BUSINESS SOLUTIONS US LLC,N/A,315 DEADERICK STREET,NASHVILLE,TN,UNITED STATES OF AMERICA,N/A,6153326481,,Y,"ELLSWORTH, CHAD",NEW YORK,NY,"ASSOCIATE DIRECTOR, IT SERVICE DELIVERY MANAGER",15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",523110,1,0,0,0,0,1,0,Y,123656,Level IV,Other,2018,OFLC ONLINE DATA CENTER,124000,160000,N,N,NA,Y,STAMFORD,FAIRFIELD,CT,,DENIED
I-200-18211-695770,07/31/2018,08/06/2018,H-1B,08/27/2018,08/26/2021,SIRIUS XM CONNECTED VEHICLE SERVICES INC.,,8550 FREEPORT PARKWAY,IRVING,TX,UNITED STATES OF AMERICA,,9727536319,,Y,"MAK, PAMELA",MCLEAN,VA,SENIOR SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",515111,1,0,0,0,0,1,0,Y,106200,N/A,Other,2017,US MBD MERCER BENCHMARK DATABASE IT SURVEY,108000,0,N,N,NA,,IRVING,DALLAS,TX,,CERTIFIED
I-200-18212-680494,07/31/2018,08/06/2018,H-1B,07/31/2018,07/31/2021,"MASTECH DIGITAL CONSULTING, INC.",,1305 CHERRINGTON PARKWAY,MOON TOWNSHIP,PA,UNITED STATES OF AMERICA,,4127872100,9553,N,",",,,SENIOR SOFTWARE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,6,1,1,1,1,1,1,Y,103376,Level III,OES,2018,OFLC (ONLINE DATA CENTER),103376,118376,Y,N,Y,Y,ENGLEWOOD,ARAPAHOE,CO,,CERTIFIED
I-200-18205-346652,07/31/2018,08/02/2018,H-1B,08/13/2018,08/12/2021,DONEGAL MUTUAL INSURANCE COMPANY,,1195 RIVER ROAD,MARIETTA,PA,UNITED STATES OF AMERICA,,7174261931,,Y,"MADERA, MICHELE",PHILADELPHIA,PA,SENIOR PROGRAMMER ANALYST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",524210,1,0,1,0,0,0,0,Y,81900,N/A,OES,2017,US MBD MERCER BENCHMARK DATABASE IT SURVEY,81900,99600,N,N,NA,,MARIETTA,LANCASTER,PA,,DENIED
I-200-18194-585641,07/20/2018,07/24/2018,H-1B,09/01/2018,06/23/2019,MEDICAL UNIVERSITY OF SOUTH CAROLINA,MEDICAL UNIVERSITY OF SOUTH CAROLINA AND AFFILIATE,171 ASHLEY AVE,CHARLESTON,SC,UNITED STATES OF AMERICA,,8437927083,,Y,"CONT, PATRICK",SPARTANBURG,SC,RESIDENT PGY-6,29-1069,"PHYSICIANS AND SURGEONS, ALL OTHER",611310,1,1,0,0,0,0,0,Y,60877,N/A,Other,2016,AAMC SURVEY OF RESIDENT/FELLOW STIPENDS AND BENEFITS,63133,0,N,N,NA,Y,CHARLESTON,CHARLESTON,SC,,WITHDRAWN
I-200-18190-538596,07/20/2018,07/23/2018,H-1B,09/04/2018,09/04/2021,"ANTHEM, INC.",N/A,220 VIRGINIA AVENUE,INDIANAPOLIS,IN,UNITED STATES OF AMERICA,,5133363844,,Y,"MASSARD, LOUIS",CHICAGO,IL,DEVELOPER ADVISOR,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",524114,1,0,0,0,0,1,0,Y,86500,N/A,Other,2017,WILLIS TOWERS WATSON: PROFESSIONAL COMPENSATION SURVEY,86500,109999.96,N,N,NA,Y,NORFOLK,NORFOLK CITY,VA,,DENIED
I-200-18184-881898,07/03/2018,07/05/2018,H-1B,09/27/2018,09/27/2021,"THE HACKETT GROUP, INC.",,1001 BRICKELL BAY DRIVE,MIAMI,FL,UNITED STATES OF AMERICA,,3053758005,,Y,"KUCK, CHARLES",ATLANTA,GA,MANAGER,11-3021,COMPUTER AND INFORMATION SYSTEMS MANAGERS,541512,1,0,1,0,0,0,0,Y,122408,Level I,OES,2018,,139750,0,N,N,NA,Y,NEW YORK,NEW YORK,NY,,DENIED
I-200-18200-467710,07/19/2018,07/23/2018,H-1B,08/11/2018,08/11/2021,PIORION SOLUTIONS INC,,1875 LOCKEWAY DR,ALPHARETTA,GA,UNITED STATES OF AMERICA,,4049073010,,,",",,,SOFTWARE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,0,1,0,0,0,Y,41.9,Level II,OES,2018,OFLC ONLINE DATA CENTER,42,0,Y,N,Y,Y,WEST SACRAMENTO,YOLO,CA,,DENIED
I-200-18186-014272,07/19/2018,07/25/2018,H-1B,12/28/2018,12/27/2021,MASIMO CORPORATION,,52 DISCOVERY,IRVINE,CA,UNITED STATES OF AMERICA,,9492977000,,Y,"MILLER, BLAKE",IRVINE,CA,DIRECTOR CLINICAL RESEARCH,11-3021,COMPUTER AND INFORMATION SYSTEMS MANAGERS,339112,1,0,0,1,0,0,0,Y,134159,N/A,Other,2018,RADFORD GLOBAL TECHN SURVEY 2018 - CLINICAL MANAGEMENT (R14063),150000,175000,N,N,NA,,IRVINE,ORANGE,CA,,CERTIFIED
I-200-18178-220835,07/16/2018,07/20/2018,H-1B,10/26/2018,10/25/2021,"NCI INFORMATION SYSTEMS, INC.",,11730 PLAZA AMERICA DRIVE,RESTON,VA,UNITED STATES OF AMERICA,,7037076900,,Y,"GREEN, LIYA",WASHINGTON,DC,DIRECTOR OF SOFTWARE ENGINEERING,11-3021,COMPUTER AND INFORMATION SYSTEMS MANAGERS,541511,1,0,1,0,0,0,0,Y,165800,N/A,Other,2017,HUMAN RESOURCES ASSOCIATION OF THE NATIONAL CAPITAL AREA COMPENSATION SURVEY,165800,174650,N,N,NA,,WASHINGTON,N/A,DC,,CERTIFIED
I-200-18228-694365,08/16/2018,08/22/2018,H-1B,08/27/2018,08/27/2021,"RICELAND FOODS, INC.",N/A,2120 PARK AVENUE,STUTTGART,AR,UNITED STATES OF AMERICA,,8706735500,,Y,"YOUNG, DANNA",LITTLE ROCK,AR,SYSTEM ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",5415,1,0,0,0,0,1,0,Y,84240,Level III,Other,2018,OFLC ONLINE DATA CENTER,84240,0,N,N,NA,,STUTTGART,ARKANSAS,AR,,CERTIFIED
I-200-18211-731664,07/31/2018,08/06/2018,H-1B,08/07/2018,08/07/2021,SANFORD CLINIC NORTH,,801 BROADWAY NORTH,FARGO,ND,UNITED STATES OF AMERICA,N/A,6053126582,,Y,"MEDEIROS, JOHN",MINNEAPOLIS,MN,INTERNAL MED PHYSICIAN / HOSPITALIST & INTERNAL MED CHAIR,29-1063,"INTERNISTS, GENERAL",622110,1,0,0,0,0,0,1,Y,248664,Level IV,OES,2018,OFLC ONLINE DATA CENTER,285000,0,N,N,,,FARGO,CASS,ND,,CERTIFIED
I-200-18204-015715,07/24/2018,07/30/2018,H-1B,10/26/2018,10/26/2021,"FIRST DATA PROCESSING, INC.",,C/O FIRST DATA CORPORATION,OMAHA,NE,UNITED STATES OF AMERICA,,4022227897,,Y,"ROSENBERG, HYLA",NEW YORK,NY,SENIOR APPLICATION ANALYST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",522320,1,0,1,0,0,0,0,Y,89100,N/A,Other,2017,TOWERS WATSON DATA SERVICES - INFORMATION TECHNOLOGY COMP SURVEY,103650,0,N,N,NA,,WILMINGTON,NEW CASTLE,DE,,CERTIFIED
I-200-18220-701793,08/08/2018,08/14/2018,H-1B,12/19/2018,12/18/2021,MORGAN STANLEY SERVICES GROUP INC.,,1585 BROADWAY,NEW YORK,NY,UNITED STATES OF AMERICA,,2127619306,,Y,"KELLY, KARA",RALEIGH,NC,ASSOCIATE,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",523110,1,0,1,0,0,0,0,Y,116805,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,117400,0,N,N,NA,Y,NEW YORK,NEW YORK,NY,,CERTIFIED
I-200-18185-583052,07/05/2018,07/11/2018,H-1B,07/09/2018,07/08/2021,MARIANAS GAS CORPORATION,ISLAND EQUIPMENT COMPANY,272 E. HARMON INDUSTRIAL PARK ROAD,TAMUNING,GU,UNITED STATES OF AMERICA,,6716461160,303,N,",",,,PLANT AND SALES ENGINEER,41-9031,SALES ENGINEERS,325120,1,0,1,0,0,0,0,Y,46550,Level I,OES,2018,OFLC ONLINE DATA CENTER,46550,0,N,N,NA,Y,TAMUNING,GUAM,GU,,CERTIFIED
I-200-18194-296029,07/13/2018,07/19/2018,H-1B,07/16/2018,07/15/2021,GIGSTER INC.,,301 HOWARD STREET,SAN FRANCISCO,CA,UNITED STATES OF AMERICA,,4157068955,,Y,"SONG, SUSAN",RICHARDSON,TX,TECHNICAL PROJECT MANAGER 11799.10,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",511210,1,0,0,0,0,1,0,Y,123556,N/A,Other,2017,DIETRICH FALL 2017 ENGINEERING SALARY SURVEY,123556,140000,N,N,NA,Y,SAN FRANCISCO,SAN FRANCISCO,CA,,CERTIFIED
I-200-18221-768297,08/09/2018,08/15/2018,H-1B,08/09/2018,08/09/2021,"MASTECH DIGITAL TECHNOLOGIES, INC., A MASTECH DIGITAL, INC. COMPANY","MASTECH DIGITAL TECHNOLOGIES, INC.",1305 CHERRINGTON PARKWAY,MOON TOWNSHIP,PA,UNITED STATES OF AMERICA,,4127872100,9553,N,",",,,SENIOR SOFTWARE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,6,1,1,1,1,1,1,Y,109886,Level III,OES,2018,OFLC (ONLINE DATA CENTER),109886,124886,Y,N,Y,Y,FRISCO,DENTON,TX,,CERTIFIED
I-200-18198-359689,07/20/2018,07/26/2018,H-1B,09/16/2018,09/15/2021,"47TH STREET DENTAL CENTER, LLC",KC DENTAL,4301A STATE AVENUE,KANSAS CITY,KS,UNITED STATES OF AMERICA,,9132877977,,Y,"SABAGH, DENYSE",WASHINGTON,DC,DENTIST,29-1021,"DENTISTS, GENERAL",621210,1,0,1,0,0,0,0,Y,217734,Level IV,OES,2018,OFLC ONLINE DATA CENTER,236900,0,N,N,NA,Y,KANSAS CITY,WYANDOTTE,KS,,CERTIFIED
I-200-18199-173969,07/19/2018,07/25/2018,H-1B,07/25/2018,07/24/2021,ACCENTURE LLP,N/A,161 N CLARK STREET,CHICAGO,IL,UNITED STATES OF AMERICA,N/A,0013126930,,N,",",,,COMPUTER SYSTEMS ANALYST 2,15-1121,COMPUTER SYSTEMS ANALYSTS,5416,1,0,0,0,0,0,1,Y,81182,Level II,OES,2018,OFLC ONLINE DATA CENTER',81182,0,N,N,NA,Y,DUBLIN,FRANKLIN,OH,,CERTIFIED
I-200-18200-436478,07/20/2018,07/26/2018,H-1B,09/16/2018,09/15/2021,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON SEATTLE/TACOMA/BOTHELL,GERBERDING HALL,SEATTLE,WA,UNITED STATES OF AMERICA,,2065433392,,N,",",,,ASSISTANT PROFESSOR,25-1011,"BUSINESS TEACHERS, POSTSECONDARY",611310,1,1,0,0,0,0,0,Y,49430,Level I,OES,2018,,180000,0,N,N,NA,,SEATTLE,KING,WA,,CERTIFIED
I-200-18190-959414,07/22/2018,07/26/2018,H-1B,01/19/2019,01/18/2022,"MOUNT CARMEL SCHOOL, INC.",MOUNT CARMEL SCHOOL,P.O. BOX 500006,SAIPAN,MP,UNITED STATES OF AMERICA,,6702351201,,N,",",,,CLASSROOM TEACHER,25-2021,"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL",611110,1,1,0,0,0,0,0,Y,19635,N/A,Other,2017,2017 CNMI PREVAILING WAGE & WORKFORCE ASSESSMENT STUDY,19635,19635,N,N,NA,Y,SAIPAN,MP,MP,,CERTIFIED
I-200-18215-159293,08/14/2018,08/16/2018,H-1B,08/31/2018,08/31/2021,"CAREMARK, LLC",N/A,ONE CVS DRIVE,WOONSOCKET,RI,UNITED STATES OF AMERICA,,4017703511,,Y,"REIFF, LAURA",MCLEAN,VA,"SR. CONSULTANT, PROJECT",15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",424210,1,0,1,0,0,0,0,Y,80974,Level II,OES,2018,OFLC ONLINE DATA CENTER,63045,87501.07,N,N,NA,Y,IRVING,DALLAS,TX,,DENIED
I-200-18226-405193,08/14/2018,08/20/2018,H-1B,09/04/2018,09/03/2021,"ADECCO GROUP NA/MODIS, INC.",,10151 DEERWOOD PARK BLVD.,JACKSONVILLE,FL,UNITED STATES OF AMERICA,,9045135198,,Y,"DEARING, MELISSA",JACKSONVILLE,FL,APPLICATION DEVELOPER SPECIALIST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541612,1,1,0,0,0,0,0,Y,84900,N/A,Other,2017,WILLIS TOWERS WATSON PROFESSIONAL (TECH. & OPERATIONS) COMPENSATION SURVEY,84900,104000,N,N,NA,,DES MOINES,POLK,IA,,CERTIFIED
I-200-18145-477006,07/19/2018,07/25/2018,H-1B,12/09/2018,12/08/2021,"LIVE NATION WORLDWIDE, INC.",N/A,7060 HOLLYWOOD BOULEVARD,HOLLYWOOD,CA,UNITED STATES OF AMERICA,N/A,3109752024,,Y,"KING, JAMES",ATLANTA,GA,SENIOR ABAP DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",711310,1,0,1,0,0,0,0,Y,114100,N/A,Other,2017,WILLIS TOWERS WATSON: PROFESSIONAL (TECHNICAL OPERATIONS) COMPENSATION SURVEY,114100,134337,N,N,NA,,HOLLYWOOD,LOS ANGELES,CA,,CERTIFIED
I-200-18151-615936,07/03/2018,07/10/2018,H-1B,09/11/2018,09/10/2021,POWERSCHOOL GROUP LLC,,150 PARKSHORE DRIVE,FOLSOM,CA,UNITED STATES OF AMERICA,,9162881795,,Y,"HANKINS, CARLYN",RICHARDSON,TX,"LEAD, SOFTWARE ENGINEERING - 11495.6",15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,1,0,1,0,0,0,0,Y,95241,N/A,Other,2017,DIETRICH FALL 2017 ENGINEERING SALARY SURVEY,95241,100852.56,N,N,NA,Y,FOLSOM,SACRAMENTO,CA,,CERTIFIED
I-200-18225-890208,08/13/2018,08/17/2018,H-1B,08/20/2018,08/19/2021,ACCENTURE LLP,N/A,161 N CLARK STREET,CHICAGO,IL,UNITED STATES OF AMERICA,N/A,0013126930,,N,",",,,COMPUTER SYSTEMS ANALYST 2,15-1121,COMPUTER SYSTEMS ANALYSTS,5416,1,0,0,0,0,0,1,Y,96762,Level II,OES,2018,OFLC ONLINE DATA CENTER',96762,0,N,N,NA,Y,SAN JOSE,SANTA CLARA,CA,,CERTIFIED
I-200-18219-721068,08/08/2018,08/14/2018,H-1B,08/14/2018,08/13/2021,GOOGLE LLC,N/A,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,UNITED STATES OF AMERICA,,6502534513,,Y,"TSEUNG, ASHLEY",RICHARDSON,TX,HARDWARE ENGINEER 1615.41358,17-2061,COMPUTER HARDWARE ENGINEERS,541512,1,0,0,0,0,1,0,Y,103379,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,117000,0,N,N,NA,,MOUNTAIN VIEW,SANTA CLARA,CA,,CERTIFIED
I-200-18221-666488,08/10/2018,08/14/2018,H-1B,11/17/2018,11/17/2021,"INTERCONTINENTAL EXCHANGE HOLDINGS, INC.",N/A,5660 NEW NORTHSIDE DRIVE,ATLANTA,GA,UNITED STATES OF AMERICA,N/A,7708572395,,Y,"BEARDSLEY, RACHEL",NEW YORK,NY,SENIOR HR ANALYST,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",523210,1,0,1,0,0,0,0,Y,125320,Level IV,OES,2018,OFLC ONLINE DATA CENTER,108600,135500,N,N,NA,Y,ATLANTA,FULTON,GA,,DENIED
I-200-18225-800018,08/16/2018,08/22/2018,H-1B,10/01/2018,09/30/2021,"BELOIT HEALTH SYSTEM, INC.",,1969 W. HART ROAD,BELOIT,WI,UNITED STATES OF AMERICA,,6083642255,,Y,"KIM, MICHAEL",INDIANAPOLIS,IN,PHYSICIAN (ANESTHESIOLOGY),29-1061,ANESTHESIOLOGISTS,622110,1,1,0,0,0,0,0,Y,208000,Level I,OES,2018,OFLC ONLINE DATA CENTER,330000,0,N,N,NA,,BELOIT,ROCK,WI,,CERTIFIED
I-200-18225-947338,08/13/2018,08/17/2018,H-1B,10/01/2018,09/30/2021,"ANGLEPOINT GROUP, INC.",,3945 FREEDOM CIRCLE,SANTA CLARA,CA,UNITED STATES OF AMERICA,,4082141251,,Y,"NATTIV, HILLA",SAUSALITO,CA,SENIOR ASSOCIATE,15-2041,STATISTICIANS,541618,1,0,0,0,0,1,0,Y,97219,Level III,OES,2018,OFLC ONLINE DATA CENTER,110000,0,N,N,NA,Y,BELLEVUE,KING,WA,,CERTIFIED
I-200-18221-645706,08/09/2018,08/15/2018,H-1B,01/02/2019,01/01/2022,UNIVERSITY OF ILLINOIS,,352 HENRY ADMINISTRATION BUILDING,URBANA,IL,UNITED STATES OF AMERICA,,2173331920,,N,",",,,POSTDOCTORAL RESEARCH ASSOCIATE,19-2012,PHYSICISTS,611310,1,0,1,0,0,0,0,Y,46800,Level I,OES,2018,,52371,0,N,N,,,BATAVIA,DUPAGE COUNTY,IL,,CERTIFIED
I-200-18225-151195,08/13/2018,08/17/2018,H-1B,08/13/2018,07/07/2020,"INOVALON, INC.",,4321 COLLINGTON ROAD,BOWIE,MD,UNITED STATES OF AMERICA,,3018094000,2018,Y,"ORTIZ, DOROTHY",BOWIE,MD,SENIOR DATA ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541690,1,0,0,1,0,0,0,Y,84926,Level II,OES,2018,OFLC ONLINE DATA CENTER,84926,94926,N,N,NA,,BOWIE,PRINCE GEORGE'S,MD,,CERTIFIED
I-200-18226-329701,08/15/2018,08/21/2018,H-1B,12/15/2018,12/14/2021,MERRILL LYNCH,N/A,401 N TRYON STREET,CHARLOTTE,NC,UNITED STATES OF AMERICA,,9806836779,,Y,"ATASSI, ISHA",NEW YORK,NY,VP; PROGRAMMER PROF MKTS,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",523110,1,0,1,0,0,0,0,Y,105681,N/A,Other,2017,MERCER BENCHMARK DATABASE SURVEY,120016,0,N,N,NA,,NEW YORK,NEW YORK,NY,,CERTIFIED
I-200-18221-694159,08/09/2018,08/22/2018,H-1B,09/01/2018,08/31/2021,STANFORD HEALTH CARE,,300 PASTEUR DRIVE,STANFORD,CA,UNITED STATES OF AMERICA,,6507256960,,Y,"SANDS, SERAFINA",APTOS,CA,"ANALYST II, BUSINESS INTELLIGENCE",15-1052,"COMPUTER SYSTEMS ANALYSTS, NON R&D",622110,1,0,0,0,0,1,0,Y,67371,Level II,OES,2018,OFLC ONLINE DATA CENTER ACWIA,75192,133868,N,N,NA,,PALO ALTO,SANTA CLARA,CA,08/13/2018,CERTIFIED-WITHDRAWN
I-200-18198-072392,07/23/2018,07/27/2018,H-1B,09/10/2018,09/10/2021,"ANTHEM, INC.",,220 VIRGINIA AVENUE,INDIANAPOLIS,IN,UNITED STATES OF AMERICA,,5133363844,,Y,"MASSARD, LOUIS",CHICAGO,IL,DEVELOPER ADVISOR,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",524114,1,0,0,0,0,1,0,Y,96100,N/A,Other,2017,WILLIS TOWERS WATSON: PROFESSIONAL (TECHNICAL & OPERATIONS) COMPENSATION SURV,96100,113000,N,N,,Y,MASON,WARREN,OH,,CERTIFIED
I-200-18193-360043,07/12/2018,07/16/2018,H-1B,07/12/2018,07/11/2021,"CONCORDIA ANESTHESIOLOGY, INC.",,120 OTTLEY DRIVE NE,ATLANTA,GA,UNITED STATES OF AMERICA,,4049836897,,Y,"ALLEN, AUDREY",CONSHOHOCKEN,PA,ANESTHOLOGIST,29-1061,ANESTHESIOLOGISTS,6211,1,0,0,0,0,1,0,N,128.89,Level III,Other,2017,OFLC ONLINE DATA CENTER,129,0,N,N,NA,Y,OKEECHOBEE,OKEECHOBEE,FL,,DENIED
I-200-18225-058055,08/15/2018,08/21/2018,H-1B,12/19/2018,12/18/2021,SANOFI US SERVICES INC.,N/A,55 CORPORATE DRIVE,BRIDGEWATER,NJ,UNITED STATES OF AMERICA,N/A,5088715715,,Y,"BAND, IAN",WASHINGTON,DC,"ASSOCIATE DIRECTOR, OPERATIONAL EXCELLENCE",11-9121,NATURAL SCIENCES MANAGERS,32541,1,0,1,0,0,0,0,Y,110751,N/A,Other,2018,RADFORD GLOBAL LIFE SCIENCES SURVEY,130000,190124,N,N,NA,,FRAMINGHAM,MIDDLESEX,MA,,CERTIFIED
I-200-18222-028709,08/10/2018,08/16/2018,H-1B,08/20/2018,08/20/2021,LUMENTUM OPERATIONS LLC,,400 N. MCCARTHY BLVD.,MILPITAS,CA,UNITED STATES OF AMERICA,,4085464376,,Y,"CHOE, HANA",SANTA CLARA,CA,SENIOR FINANCIAL ANALYST,13-2051,FINANCIAL ANALYSTS,541330,10,2,2,2,0,2,2,Y,86842,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,86842,150150,N,N,NA,,MILPITAS,SANTA CLARA,CA,,CERTIFIED
I-200-18220-325704,08/10/2018,08/16/2018,H-1B,08/27/2018,08/26/2021,"NETAPP, INC.",,1395 CROSSMAN AVENUE,SUNNYVALE,CA,UNITED STATES OF AMERICA,,4088226000,,Y,"WINARSKY, KAREN",ATLANTA,GA,TECHNICAL MARKETING ENGINEER,41-9031,SALES ENGINEERS,541511,1,0,0,0,0,1,0,Y,176419,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,180000,195000,N,N,NA,,SUNNYVALE,SANTA CLARA,CA,,CERTIFIED
I-200-18220-022948,08/16/2018,08/22/2018,H-1B,09/27/2018,09/26/2021,TOWERS WATSON DELAWARE INC.,N/A,800 NORTH GLEBE ROAD,ARLINGTON,VA,UNITED STATES OF AMERICA,,7032588046,,Y,"MOSCHETTA, FRANCESCA",NEW YORK,NY,LEAD ASSOCIATE,15-2011,ACTUARIES,54161,1,0,1,0,0,0,0,Y,81900,N/A,Other,2017,"D.G. MCDERMOTT ASSOCIATES, LLC 2017 ACTUARIAL SURVEY",81900,0,N,N,NA,,CHICAGO,COOK COUNTY,IL,,CERTIFIED
I-200-18194-048902,08/13/2018,08/17/2018,H-1B,02/10/2019,02/09/2022,MERCY CLINIC EAST COMMUNITIES,,615 SOUTH NEW BALLAS ROAD,ST. LOUIS,MO,UNITED STATES OF AMERICA,,3143643568,,Y,"FIGENSHAU, SUSAN",ST. LOUIS,MO,PHYSICIAN (INTERNAL MEDICINE),29-1063,"INTERNISTS, GENERAL",621111,1,0,1,0,0,0,0,Y,218733,Level III,OES,2018,OFLC ONLINE DATA CENTER,250000,450000,N,N,NA,,FESTUS,JEFFERSON,MO,,CERTIFIED
